id,resource_id,resource_label,type,motion,value,frame
1,4,,serif,,The program filmed the other day was finally aired.,
2,,,select,3,It received rave reviews.,
3,4,,serif,,The positive responses were great in number as well… I’m relieved.,
4,4,,serif,,Now that I look back on it､ this project began from when I visited that entertainer’s party…,
5,4,,serif,,I was able to have this job because of meeting people for the first time and accepting an invitation.,
6,4,,serif,,And now that I think about it､ my leap into the entertainment industry was something guided by more connections.,
7,4,,serif,,Meeting you､ Producer､ as well as my strange connection with Hanamura-san and Nekoyanagi-san…,
8,4,,serif,,Because I’ve become able to treasure these one-in-a-lifetime encounters､,
9,4,,serif,,I was able to proceed down the path of idols with yet another step.,
10,4,,serif,,I must continue to treasure the connections I’ve been blessed with having…,
11,4,,face,,joy,
12,4,,serif,,So please… Continue to take care of me from now on､ Producer.,
