id,resource_id,resource_label,type,motion,value,frame
1,4,,x,,-140,10
2,5,,x,,140,10
3,4,,serif,,We’ve arrived at the party venue､ but… This… What in the world is this?,
4,4,,face,,sad,
5,4,,serif,,If I had to call it something､ it would be “noisy”… It’s full of people drinking and eating as they please…,
6,4,,serif,,Um､ this is a rather different state of affairs from the tea party I had imagined it to be…,
7,5,,serif,,Ain’t it fine that it’s a ‘lil different! Do it with feeling! Don’t you think this sorta thing once in a while’s pretty fun?,
8,5,,alpha,,0,8
9,4,,x,,0,10
10,6,,alpha,,50,8
11,4,,face,,angry,
12,4,,serif,,(To participate with just feeling… What a half-baked…),
13,4,,serif,,(He went out of his way to invite me､ but I shall now go back…),
14,2,,alpha,,100,10
15,4,,face,,sad,
16,6,,alpha,,0,0
17,2,,alpha,,0,10
18,2,,alpha,,0,8
19,4,,serif,,Producer､ I’m terribly sorry to have had you accompany me this far.,
20,4,,face,,normal,
21,4,,serif,,…However､ the group of people being noisy seems to be enjoying themselves.,
22,4,,serif,,It seems certain that this sort of get-together is what the youths are having fun precisely because they are relaxed.,
23,4,,serif,,I wonder where is the reason for their attraction to an event like this…?,
24,4,,serif,,…Excuse me. Could you allow me to walk around and look for a while longer?,
25,4,,select,3,Of course!,
26,4,,face,,joy,
27,4,,serif,,Thank you very much. Then､ please continue to be in my company for now.,
