id,resource_id,resource_label,type,motion,value,frame
1,,,text,,After that､ the detective drama filming proceeded well. They safely finished filming.,
2,,,select,3,Congratulations on finishing filming!,
3,4,,face,,joy,
4,4,,serif,,Fufu､ thank you ♪ Thanks for your hard work with lots of other things too､ my cute Producer.,
5,4,,face,,nomal,
6,4,,serif,,Oh､ what is it､ Hakutsuru-chan? You look like you have something to say to me.,
7,5,,serif,,…Nah. I sure was shocked. I’ve been watching you close up. You really upped your skills.,
8,4,,face,,sad,
9,4,,serif,,W-what’s that? You’re especially honest today. Are pigs going to start flying tomorrow､ or what?,
10,5,,serif,,At least accept the occasional compliment at face value. I’m never saying it again､ you hear!,
11,4,,face,,nomal,
12,5,,serif,,When I heard you changed jobs to become an idol… Honestly､ I was just disappointed.,
13,5,,serif,,Though I’m not saying I’d understand how you felt… about not getting rewarded… not getting acknowledged…,
14,5,,serif,,I thought you’d just up and run away. “Oh､ so you were that kind of weak-kneed bastard…” and whatever.,
15,5,,serif,,But it looks like you really weren’t running away. In fact､ you were actually moving forward､ dammit.,
16,4,,face,,joy,
17,4,,serif,,…Hahah. A little too late for you to be saying that､ don’t you think? Isn’t that obvious?,
18,4,,face,,normal,
19,4,,serif,,My nature hasn’t changed a bit､ nor has it weakened. My environment’s taken a huge 180…,
20,4,,face,,angry,
21,4,,serif,,But even now､ I’m going to keep on walking so that I can shine in the center of the stage. It’s always been this way since the past and even now.,
22,5,,serif,,I see… Being able to act with you was fun. I hope we have a chance to do it again sometime.,
23,4,,face,,joy,
24,4,,serif,,Oh dear. Then I might just be the protagonist then､ hmm? ♪ ,
25,4,,face,,angry,
26,4,,serif,,I don’t know when it’ll happen､ but until then､ let’s keep polishing our respective forms of entertainment!,
