id,resource_id,resource_label,type,motion,value,frame
1,,,text,,After the face-to-face introduction finished､ Ichikawa Hakutsuru appeared in front of Shouma.,
2,4,,x,,-150,20
3,5,,x,,150,50
4,5,,serif,,Oh､ oh､ oh… I thought some flashy willow tree was growing right here. Well､ it’s you､ Hanamura.,
5,5,,serif,,From what I hear､ you’ve been getting some dimwit jobs coming your way. What was it again? Something to do with UFOs or vampires?,
6,5,,serif,,I dunno if you’re an idol or a poodle､ but I sure am worried for you. Can you do any praiseworthy acting in the first place?,
7,4,,face,,joy,
8,4,,serif,,Ooh､ right back at you､ Hakutsuru-chan. Thought you were a big ginseng tree.,
9,4,,face,,angry,
10,4,,serif,,I’m the one who’s more worried. I just realized that you’re going to be shouting and acting with that gruff voice of yours. Will you be okay?,
11,4,,serif,,I got chills up my spine watching last month’s performance. Maybe it’s your role as a detective coming into play?,
12,4,,face,,nomal,
13,5,,serif,,Geh… I’ll prove what I got during the filming. You’ve got important lines､ so you better not flub it.,
14,4,,face,,angry,
15,4,,serif,,Hah! You’re the one whose face is getting displayed on the product all over. Don’t screw up､ I’m telling you!,
16,2,,alpha,,100,35
17,4,,face,,nomal,
18,5,,alpha,,0,0
19,4,,x,,0,0
20,2,,alpha,,0,35
21,,,select,3,You two seem to have a<br>good relationship somehow.,
22,4,,face,,joy,
23,4,,serif,,Aha. That’s how you saw the thing just now? I can’t fool you at all. You’re right.,
24,4,,serif,,Every time I meet him､ we start cursing each other out. It’s like an unspoken rule when it comes to our conversations.,
25,4,,face,,sorrow,
26,4,,serif,,He’s an actor from a first-rate famous school. Normally､ I wouldn’t be able to be on even footing with him､ since I’ve got no backers.,
27,4,,face,,nomal,
28,4,,serif,,But he’s him. That’s why he’s got a high opinion of my skills.,
29,4,,serif,,By doing that back-and-forth taunting､ we’d hit each other with our spirits and improve one another.,
30,4,,face,,joy,
31,4,,serif,,Ever since I became an idol､ he thought about me in his own way. He’s a good friend.,
