id,resource_id,resource_label,type,motion,value,frame
1,4,,face,,joy,
2,4,,serif,happy,The mini live sure got fired up! Good work to you too､ Producer!,
3,4,,motino,happy,,10
4,4,,face,,normal,
5,4,,serif,,I went full-force even on the first song today. How was it?,
6,,,select,1,I’m sure it resonated right<br>into everyone’s hearts.,
7,4,,face,,joy,
8,4,,serif,,I’m glad to hear that. Thanks for watching over me.,
9,5,,alpha,,60,20
10,4,,face,,normal,
11,4,,serif,,(Everyone in the audience ended up smiling thanks to our song. The live this time was a huge success.),
12,4,,serif,,(I’m sure that kid also listened to our song.),
13,5,,alpha,,0,15
14,4,,serif,,This incident ended up being the source of a lot of remembering and thinking things over on my part.,
15,4,,serif,,There’s still a lot of people in this world who are struggling with their own loneliness in their own shapes and forms.,
16,4,,serif,,We’re lonely by ourselves… I want there to be fewer people feeling isolation､ if only a little.,
17,4,,serif,,As an idol､ I could help out more people in even the slightest of ways… That’s what I realized again. ,
18,,,select,1,Since when did you start thinking that way?,
19,4,,face,,sad,
20,4,,serif,,Since when? Let me think. It’s gotta be something that happened a while ago､ but…,
21,4,,y,,0,0
22,4,,motion,happy,,10
23,4,,face,,normal,
24,4,,serif,,Aah､ I remember now. I still haven’t talked to you about that､ Producer.,
25,4,,serif,,When I was young､ I got kidnapped.,
